RecordID,fProfit
783,64406.140415462
784,49591.659819173
785,65870.0686870645
786,57890.0737419599
787,64894.5899397336
788,85676.3363414915
789,50787.5724744796
790,59498.6109915566
791,56289.9144134612
792,54227.4121982309
793,58855.2456737365
794,110189.138844549
795,58990.7864732054
796,68857.8999445957
797,50201.1813970924
798,59700.119192458
799,58228.7206932458
800,51389.8038250388
801,54169.2917233672
802,54713.5139567599
803,67598.5455391255
804,61002.2470209028
805,64028.1951647766
806,60799.8149041289
807,61673.7407818509
808,57545.3676443042
809,58744.1211322456
810,57762.5712892687
811,63373.3384250618
812,58267.9924970601
813,53291.5130200337
814,60830.1179480521
815,59950.64498316
816,100936.15814244
817,51349.7190527839
818,58510.0688068528
819,48134.943523203
820,57371.6617179893
821,63781.2440693021
822,53081.0142975736
823,61148.4334824231
824,66226.840892637
825,59429.8089849223
826,55801.8098232087
827,66611.2666524592
828,68471.3982034004
829,66671.4112444299
830,53940.5390755397
831,59453.3449872983
832,75403.0063606408
833,61407.2033306774
834,53329.0312551986
835,68819.1776714584
836,79930.2549618319
837,61437.2435231227
838,66170.7139087761
839,68133.5623710687
840,53117.5061991004
841,51978.1229053871
842,69382.5173142226
843,55194.9168505101
844,67065.2225931115
845,58355.2971046369
846,81884.6169263192
847,83486.8048766213
848,58131.3695047751
849,59175.4785569605
850,69034.0509223617
851,66751.990942823
852,58797.7969626791
853,71137.6181393075
854,114676.125527331
855,53384.4990741679
856,68197.4881825613
857,57635.5913823346
858,67106.7756487301
859,113467.350027399
860,54051.993785421
861,57284.9078030199
